seed,workspace,stages,degree,hparams/epoch,hparams/num_parameters,hparams/validate_best
5081.0,4.0,2.0,2.0,340.0,32.0,0.007907569408416748
6936.0,8.0,1.0,2.0,999.0,39.0,0.18152368068695068
5081.0,5.0,1.0,2.0,460.0,27.0,0.009304583072662354
3774.0,3.0,1.0,2.0,999.0,19.0,0.5145523548126221
6936.0,5.0,2.0,3.0,200.0,38.0,0.009603321552276611
6936.0,6.0,2.0,4.0,999.0,44.0,0.10870921611785889
5081.0,6.0,2.0,3.0,90.0,44.0,0.006848454475402832
3774.0,4.0,2.0,2.0,999.0,32.0,0.023705482482910156
6936.0,6.0,1.0,2.0,999.0,31.0,0.2610841393470764
5081.0,5.0,2.0,2.0,190.0,38.0,0.00619739294052124
6936.0,7.0,2.0,3.0,90.0,50.0,0.007216930389404297
5081.0,6.0,2.0,4.0,999.0,44.0,0.07201510667800903
6936.0,5.0,1.0,4.0,999.0,27.0,0.14978688955307007
5081.0,3.0,1.0,3.0,999.0,19.0,0.2583615183830261
5081.0,4.0,2.0,3.0,180.0,32.0,0.007716655731201172
6936.0,3.0,1.0,3.0,999.0,19.0,0.2584710717201233
6936.0,7.0,2.0,4.0,140.0,50.0,0.006055712699890137
5081.0,6.0,1.0,3.0,999.0,31.0,0.1088985800743103
5081.0,5.0,2.0,3.0,120.0,38.0,0.004344284534454346
5081.0,4.0,1.0,3.0,999.0,23.0,0.1183273196220398
5081.0,5.0,1.0,3.0,230.0,27.0,0.00934743881225586
5081.0,8.0,1.0,2.0,940.0,39.0,0.005340397357940674
6936.0,4.0,1.0,4.0,999.0,23.0,0.23549264669418335
3774.0,5.0,2.0,3.0,999.0,38.0,0.07044881582260132
3774.0,6.0,2.0,1.0,480.0,44.0,0.008500874042510986
3774.0,7.0,1.0,1.0,500.0,35.0,0.009506583213806152
3774.0,7.0,2.0,1.0,550.0,50.0,0.009175360202789307
3774.0,8.0,1.0,1.0,570.0,39.0,0.00934833288192749
5081.0,7.0,2.0,2.0,90.0,50.0,0.0031668543815612793
6936.0,4.0,2.0,4.0,180.0,32.0,0.009141087532043457
5081.0,3.0,2.0,3.0,999.0,26.0,0.18920236825942993
6936.0,3.0,2.0,3.0,999.0,26.0,0.20904123783111572
3774.0,5.0,1.0,4.0,110.0,27.0,0.0035826563835144043
5081.0,7.0,1.0,3.0,70.0,35.0,0.00899726152420044
5081.0,7.0,2.0,3.0,80.0,50.0,0.004865467548370361
7427.0,3.0,1.0,1.0,999.0,19.0,0.33033883571624756
7427.0,3.0,2.0,1.0,999.0,26.0,0.43361884355545044
5081.0,3.0,1.0,4.0,999.0,19.0,0.05758202075958252
3774.0,3.0,1.0,3.0,999.0,19.0,0.26691126823425293
6936.0,3.0,1.0,4.0,999.0,19.0,0.23952871561050415
5081.0,7.0,2.0,4.0,50.0,50.0,0.0035530924797058105
7427.0,4.0,1.0,1.0,999.0,23.0,0.42671066522598267
7427.0,4.0,2.0,1.0,520.0,32.0,0.008694589138031006
3774.0,3.0,2.0,4.0,999.0,26.0,0.15655767917633057
7427.0,5.0,1.0,1.0,999.0,27.0,0.06596523523330688
5081.0,4.0,1.0,4.0,999.0,23.0,0.13779538869857788
6936.0,8.0,2.0,3.0,200.0,56.0,0.0016798973083496094
3774.0,7.0,1.0,2.0,560.0,35.0,0.002656698226928711
7427.0,5.0,2.0,1.0,999.0,38.0,0.1226339340209961
6936.0,7.0,1.0,4.0,60.0,35.0,0.004853606224060059
6936.0,6.0,1.0,3.0,200.0,31.0,0.008187532424926758
3774.0,6.0,2.0,2.0,999.0,44.0,0.16287529468536377
7427.0,3.0,1.0,2.0,999.0,19.0,0.27742934226989746
3774.0,8.0,2.0,2.0,999.0,56.0,0.3677167296409607
5081.0,6.0,1.0,4.0,120.0,31.0,0.00871497392654419
5081.0,3.0,2.0,4.0,999.0,26.0,0.34861165285110474
7427.0,7.0,2.0,1.0,999.0,50.0,0.3032526969909668
3774.0,8.0,1.0,2.0,410.0,39.0,0.006841301918029785
6936.0,3.0,2.0,4.0,999.0,26.0,0.2656834125518799
7427.0,8.0,2.0,1.0,470.0,56.0,0.006375014781951904
3774.0,5.0,2.0,4.0,999.0,38.0,0.06951373815536499
3774.0,7.0,2.0,2.0,130.0,50.0,0.006631672382354736
