seed,initial_bias,initial_bias_spread,initial_weights_spread,initial_unitaries_spread,hparams/epoch,hparams/validate_best
6936.0,0.0,10.0,0.01,10.0,540.0,0.0009680092334747314
6936.0,0.0,0.1,0.0,0.01,450.0,0.0009941458702087402
6936.0,0.785398,0.0,0.01,0.1,790.0,0.0009140074253082275
6936.0,0.0,0.0,0.1,1.0,999.0,0.0011287927627563477
6936.0,0.0,0.1,1.0,10.0,790.0,0.0007765889167785645
6936.0,0.0,10.0,1.0,0.1,950.0,0.0009949207305908203
6936.0,0.785398,0.0,0.1,10.0,999.0,0.0022963881492614746
6936.0,0.0,0.1,0.1,0.1,520.0,0.0007773339748382568
6936.0,0.0,0.01,0.0,0.1,999.0,0.10300582647323608
6936.0,0.785398,0.01,0.01,0.0,999.0,0.14271682500839233
6936.0,0.0,10.0,0.1,1.0,999.0,0.0013549625873565674
6936.0,0.0,10.0,10.0,0.1,999.0,0.1628667712211609
6936.0,0.0,1.0,0.01,1.0,999.0,0.4219124913215637
6936.0,0.785398,0.0,0.0,0.1,410.0,0.0007041394710540771
6936.0,0.0,0.1,0.01,1.0,999.0,0.4087458848953247
6936.0,0.0,1.0,10.0,10.0,999.0,0.0021005570888519287
6936.0,0.0,1.0,0.1,1.0,820.0,0.0009817779064178467
6936.0,0.785398,0.01,0.0,0.1,999.0,0.001032412052154541
6936.0,0.0,0.0,10.0,10.0,999.0,0.0022192001342773438
6936.0,0.785398,0.01,0.1,0.0,180.0,0.000980675220489502
6936.0,0.0,1.0,0.0,10.0,999.0,0.023670047521591187
6936.0,0.785398,0.0,10.0,0.1,999.0,0.001041322946548462
6936.0,0.785398,0.01,1.0,0.0,210.0,0.0009571313858032227
6936.0,0.0,10.0,0.0,10.0,999.0,0.0018967986106872559
6936.0,0.0,0.01,0.1,1.0,999.0,0.02999064326286316
6936.0,0.785398,0.0,0.01,1.0,490.0,0.0008755326271057129
6936.0,0.0,0.01,0.01,1.0,690.0,0.0009735822677612305
6936.0,0.785398,0.01,0.1,0.01,360.0,0.0009432137012481689
6936.0,0.0,1.0,1.0,1.0,999.0,0.0011072754859924316
6936.0,0.0,0.1,10.0,10.0,790.0,0.0009460747241973877
6936.0,0.785398,0.0,0.0,1.0,999.0,0.0022901594638824463
6936.0,0.785398,0.1,0.0,0.0,430.0,0.0009018480777740479
6936.0,0.0,0.0,0.1,10.0,999.0,0.012764722108840942
6936.0,0.0,0.1,0.1,1.0,999.0,0.001714080572128296
6936.0,0.0,0.01,10.0,10.0,999.0,0.0017716288566589355
6936.0,0.0,10.0,1.0,1.0,999.0,0.0011744201183319092
6936.0,0.0,0.01,0.0,1.0,999.0,0.004216223955154419
6936.0,0.785398,0.0,0.01,10.0,999.0,0.005250334739685059
6936.0,0.785398,0.1,0.01,0.0,999.0,0.1342560052871704
6936.0,0.0,0.1,0.0,1.0,999.0,0.0031728148460388184
6936.0,0.785398,0.0,1.0,0.1,780.0,0.0009846091270446777
6936.0,0.0,1.0,0.01,10.0,999.0,0.4186445474624634
6936.0,0.0,1.0,0.1,10.0,999.0,0.4189750552177429
6936.0,0.0,0.01,0.01,10.0,999.0,0.0013560950756072998
