seed,sentence_length,hparams/epoch,hparams/validate_best,hparams/character_error_rate_best
31087.0,10.0,210.0,0.00046944618225097656,0.0
30698.0,10.0,150.0,0.0004451274871826172,0.0
29885.0,20.0,440.0,0.00046902894973754883,0.0
27489.0,20.0,220.0,0.00048232078552246094,0.0
31509.0,20.0,130.0,0.00048106908798217773,0.0
25388.0,20.0,999.0,0.5273607969284058,0.546875
27175.0,20.0,130.0,0.00047463178634643555,0.0
32030.0,20.0,999.0,0.04349076747894287,0.03515625
31615.0,20.0,999.0,0.06003570556640625,0.05859375
30680.0,20.0,130.0,0.0004774928092956543,0.0
34899.0,20.0,100.0,0.00039571523666381836,0.0
25969.0,20.0,230.0,0.0004938244819641113,0.0
32780.0,20.0,820.0,0.0004982352256774902,0.0
30084.0,20.0,450.0,0.00045680999755859375,0.0
33470.0,20.0,210.0,0.00035244226455688477,0.0
26845.0,20.0,90.0,0.0004367828369140625,0.0
32630.0,20.0,200.0,0.0003024935722351074,0.0
28785.0,20.0,999.0,0.17020255327224731,0.1796875
30883.0,20.0,500.0,0.00038498640060424805,0.0
26159.0,20.0,80.0,0.0003536343574523926,0.0
30762.0,20.0,380.0,0.00043082237243652344,0.0
34317.0,20.0,999.0,0.1815478801727295,0.1875
26305.0,20.0,190.0,0.00039762258529663086,0.0
33016.0,20.0,999.0,0.07039201259613037,0.06640625
29421.0,20.0,80.0,0.000349581241607666,0.0
25127.0,20.0,160.0,0.0004950761795043945,0.0
33282.0,20.0,80.0,0.00043004751205444336,0.0
33391.0,20.0,100.0,0.00042372941970825195,0.0
34143.0,20.0,70.0,0.0004227757453918457,0.0
30698.0,20.0,190.0,0.00042515993118286133,0.0
27968.0,20.0,810.0,0.0004569888114929199,0.0
29885.0,50.0,110.0,0.00039643049240112305,0.0
27489.0,50.0,999.0,0.09086555242538452,0.08984375
31509.0,50.0,999.0,0.00047957897186279297,0.0
25388.0,50.0,999.0,0.16976332664489746,0.1796875
27175.0,50.0,240.0,0.00045734643936157227,0.0
32030.0,50.0,510.0,0.0004897713661193848,0.0
30680.0,50.0,999.0,0.1713976263999939,0.2109375
34899.0,50.0,490.0,0.0004360079765319824,0.0
25969.0,50.0,120.0,0.0004889369010925293,0.0
32780.0,50.0,250.0,0.00045812129974365234,0.0
33470.0,50.0,999.0,0.18560808897018433,0.19921875
26845.0,50.0,290.0,0.0004639625549316406,0.0
28785.0,50.0,330.0,0.0004997849464416504,0.0
30883.0,50.0,230.0,0.0004405975341796875,0.0
26159.0,50.0,450.0,0.0004698634147644043,0.0
30762.0,50.0,270.0,0.0004892349243164062,0.0
34317.0,50.0,400.0,0.00036340951919555664,0.0
26305.0,50.0,180.0,0.0004788041114807129,0.0
33016.0,50.0,210.0,0.00043261051177978516,0.0
29421.0,50.0,260.0,0.0003853440284729004,0.0
25127.0,50.0,320.0,0.0004923343658447266,0.0
33282.0,50.0,100.0,0.0003140568733215332,0.0
33391.0,50.0,160.0,0.00047600269317626953,0.0
34143.0,50.0,160.0,0.0004735589027404785,0.0
31087.0,50.0,790.0,0.00048232078552246094,0.0
30698.0,50.0,160.0,0.0004360675811767578,0.0
27968.0,50.0,70.0,0.00035643577575683594,0.0
29885.0,100.0,370.0,0.0004831552505493164,0.0
27489.0,100.0,470.0,0.0004937648773193359,0.0
31509.0,100.0,230.0,0.0002090930938720703,0.0
27175.0,100.0,999.0,0.19532561302185059,0.17578125
32030.0,100.0,999.0,0.0006206035614013672,0.0
31615.0,100.0,999.0,0.07068991661071777,0.0703125
30680.0,100.0,120.0,0.0003765225410461426,0.0
34899.0,100.0,470.0,0.00045806169509887695,0.0
25969.0,100.0,999.0,0.19155627489089966,0.19140625
32780.0,100.0,220.0,0.0004897117614746094,0.0
30084.0,100.0,390.0,0.0004767179489135742,0.0
33470.0,100.0,999.0,0.1861554980278015,0.19140625
26845.0,100.0,999.0,0.16815698146820068,0.1796875
32630.0,100.0,260.0,0.00045168399810791016,0.0
28785.0,100.0,140.0,0.00040096044540405273,0.0
30883.0,100.0,999.0,0.1873268485069275,0.18359375
26159.0,100.0,80.0,0.0003604888916015625,0.0
34317.0,100.0,999.0,0.0025917887687683105,0.00390625
29421.0,100.0,180.0,0.0004324913024902344,0.0
25127.0,100.0,80.0,0.0004944801330566406,0.00390625
33282.0,100.0,230.0,0.00045883655548095703,0.0
33391.0,100.0,110.0,0.00022542476654052734,0.0
34143.0,100.0,190.0,0.0004127621650695801,0.0
30698.0,100.0,480.0,0.00043654441833496094,0.0
29885.0,200.0,490.0,0.0004997849464416504,0.0
27489.0,200.0,190.0,0.00046819448471069336,0.0
25388.0,200.0,380.0,0.0004988908767700195,0.0
27175.0,200.0,150.0,0.0004909038543701172,0.0
32030.0,200.0,330.0,0.0004546642303466797,0.0
